Date,Price,Open,High,Low,Vol.,Change %
19-Sep-19,"4,030.00","3,990.00","4,035.00","3,976.00",19.24K,1.38%
18-Sep-19,"3,975.00","3,959.00","3,975.00","3,959.00",0.53K,-0.03%
17-Sep-19,"3,976.00","3,966.00","3,980.00","3,955.00",0.30K,0.51%
16-Sep-19,"3,956.00","3,975.00","3,978.00","3,950.00",2.19K,-0.95%
13-Sep-19,"3,994.00","4,025.00","4,025.00","3,986.00",3.35K,-0.84%
12-Sep-19,"4,028.00","4,033.00","4,040.00","4,013.00",1.82K,0.70%
11-Sep-19,"4,000.00","4,002.00","4,022.00","3,985.00",21.45K,0.03%
9-Sep-19,"3,999.00","4,000.00","4,030.00","3,988.00",32.89K,0.53%
6-Sep-19,"3,978.00","3,930.00","3,990.00","3,925.00",30.49K,1.14%
5-Sep-19,"3,933.00","3,945.00","3,966.00","3,923.00",39.51K,-0.13%
4-Sep-19,"3,938.00","3,974.00","3,976.00","3,922.00",29.03K,-1.13%
3-Sep-19,"3,983.00","4,005.00","4,019.00","3,970.00",23.84K,-0.82%
30-Aug-19,"4,016.00","4,020.00","4,029.00","3,994.00",20.87K,-0.27%
29-Aug-19,"4,027.00","3,997.00","4,031.00","3,982.00",23.79K,0.65%
28-Aug-19,"4,001.00","4,045.00","4,052.00","3,994.00",34.16K,-0.67%
27-Aug-19,"4,028.00","4,000.00","4,044.00","3,956.00",58.40K,0.12%
26-Aug-19,"4,023.00","4,100.00","4,110.00","3,993.00",57.45K,-1.95%
23-Aug-19,"4,103.00","4,191.00","4,202.00","4,088.00",80.49K,-2.10%
22-Aug-19,"4,191.00","4,227.00","4,238.00","4,183.00",29.53K,-0.80%
21-Aug-19,"4,225.00","4,266.00","4,273.00","4,215.00",23.12K,0.55%
20-Aug-19,"4,202.00","4,213.00","4,213.00","4,195.00",0.62K,-0.19%
19-Aug-19,"4,210.00","4,220.00","4,220.00","4,191.00",0.21K,-1.64%
16-Aug-19,"4,280.00","4,280.00","4,280.00","4,280.00",0.05K,0.52%
14-Aug-19,"4,258.00","4,260.00","4,261.00","4,249.00",1.54K,0.88%
13-Aug-19,"4,221.00","4,238.00","4,258.00","4,219.00",13.53K,0.40%
9-Aug-19,"4,204.00","4,205.00","4,234.00","4,170.00",23.36K,0.38%
8-Aug-19,"4,188.00","4,165.00","4,198.00","4,153.00",20.09K,0.67%
7-Aug-19,"4,160.00","4,221.00","4,232.00","4,155.00",23.86K,-1.52%
6-Aug-19,"4,224.00","4,231.00","4,254.00","4,218.00",16.71K,-0.24%
5-Aug-19,"4,234.00","4,249.00","4,251.00","4,215.00",18.99K,0.05%
2-Aug-19,"4,232.00","4,228.00","4,249.00","4,215.00",22.38K,-0.05%
1-Aug-19,"4,234.00","4,290.00","4,294.00","4,214.00",32.98K,-1.14%
31-Jul-19,"4,283.00","4,283.00","4,308.00","4,265.00",24.87K,-0.12%
30-Jul-19,"4,288.00","4,300.00","4,314.00","4,277.00",13.72K,-0.19%
29-Jul-19,"4,296.00","4,315.00","4,337.00","4,289.00",34.91K,-0.60%
26-Jul-19,"4,322.00","4,282.00","4,328.00","4,268.00",36.23K,0.70%
25-Jul-19,"4,292.00","4,252.00","4,298.00","4,243.00",34.79K,0.92%
24-Jul-19,"4,253.00","4,263.00","4,272.00","4,237.00",20.59K,0.05%
23-Jul-19,"4,251.00","4,235.00","4,270.00","4,218.00",25.47K,0.21%
22-Jul-19,"4,242.00","4,340.00","4,340.00","4,226.00",35.66K,-1.35%
19-Jul-19,"4,300.00","4,300.00","4,300.00","4,300.00",0.01K,-0.97%
18-Jul-19,"4,342.00","4,342.00","4,342.00","4,342.00",0.02K,0.14%
17-Jul-19,"4,336.00","4,330.00","4,365.00","4,329.00",0.25K,0.74%
16-Jul-19,"4,304.00","4,303.00","4,315.00","4,290.00",0.08K,-0.28%
15-Jul-19,"4,316.00","4,323.00","4,339.00","4,300.00",0.50K,0.96%
12-Jul-19,"4,275.00","4,278.00","4,278.00","4,270.00",0.21K,0.54%
11-Jul-19,"4,252.00","4,297.00","4,301.00","4,240.00",15.20K,-1.12%
10-Jul-19,"4,300.00","4,281.00","4,324.00","4,275.00",18.47K,0.44%
9-Jul-19,"4,281.00","4,303.00","4,304.00","4,260.00",14.06K,-0.23%
8-Jul-19,"4,291.00","4,285.00","4,397.00","4,262.00",27.88K,0.52%
5-Jul-19,"4,269.00","4,182.00","4,283.00","4,182.00",29.53K,2.01%
4-Jul-19,"4,185.00","4,167.00","4,192.00","4,157.00",17.75K,0.72%
3-Jul-19,"4,155.00","4,150.00","4,196.00","4,140.00",21.98K,-0.22%
2-Jul-19,"4,164.00","4,268.00","4,279.00","4,140.00",39.31K,-2.44%
1-Jul-19,"4,268.00","4,225.00","4,284.00","4,209.00",25.20K,1.09%
28-Jun-19,"4,222.00","4,248.00","4,253.00","4,212.00",27.69K,-0.35%
27-Jun-19,"4,237.00","4,296.00","4,296.00","4,226.00",25.10K,-1.05%
26-Jun-19,"4,282.00","4,251.00","4,295.00","4,251.00",33.53K,0.23%
25-Jun-19,"4,272.00","4,245.00","4,290.00","4,232.00",27.92K,0.59%
24-Jun-19,"4,247.00","4,237.00","4,284.00","4,180.00",37.24K,0.00%
21-Jun-19,"4,247.00","4,265.00","4,298.00","4,222.00",48.26K,1.05%
20-Jun-19,"4,203.00","4,201.00","4,224.00","4,201.00",0.20K,0.14%
19-Jun-19,"4,197.00","4,197.00","4,197.00","4,197.00",0.01K,-0.45%
18-Jun-19,"4,216.00","4,250.00","4,250.00","4,200.00",1.14K,-1.95%
17-Jun-19,"4,300.00","4,410.00","4,410.00","4,300.00",0.56K,-2.71%
14-Jun-19,"4,420.00","4,435.00","4,435.00","4,415.00",0.38K,-0.56%
13-Jun-19,"4,445.00","4,459.00","4,460.00","4,420.00",2.59K,0.86%
12-Jun-19,"4,407.00","4,386.00","4,422.00","4,386.00",0.57K,0.48%
11-Jun-19,"4,386.00","4,346.00","4,436.00","4,316.00",14.26K,0.60%
10-Jun-19,"4,360.00","4,415.00","4,415.00","4,348.00",33.27K,-1.42%
7-Jun-19,"4,423.00","4,471.00","4,510.00","4,415.00",38.79K,-1.27%
6-Jun-19,"4,480.00","4,538.00","4,554.00","4,471.00",39.36K,-0.88%
4-Jun-19,"4,520.00","4,586.00","4,600.00","4,502.00",36.61K,-1.40%
3-Jun-19,"4,584.00","4,599.00","4,611.00","4,576.00",34.64K,-0.59%
31-May-19,"4,611.00","4,640.00","4,687.00","4,570.00",46.49K,-0.11%
30-May-19,"4,616.00","4,559.00","4,634.00","4,546.00",53.52K,1.41%
29-May-19,"4,552.00","4,526.00","4,560.00","4,483.00",42.92K,0.44%
28-May-19,"4,532.00","4,542.00","4,598.00","4,523.00",48.37K,-0.48%
27-May-19,"4,554.00","4,604.00","4,604.00","4,527.00",62.23K,-1.58%
24-May-19,"4,627.00","4,639.00","4,661.00","4,618.00",46.87K,-0.06%
23-May-19,"4,630.00","4,664.00","4,664.00","4,605.00",47.33K,-0.30%
22-May-19,"4,644.00","4,703.00","4,721.00","4,631.00",64.17K,-0.85%
21-May-19,"4,684.00","4,655.00","4,700.00","4,634.00",52.52K,0.71%
20-May-19,"4,651.00","4,666.00","4,667.00","4,630.00",2.80K,1.59%
17-May-19,"4,578.00","4,585.00","4,590.00","4,570.00",1.76K,0.02%
16-May-19,"4,577.00","4,526.00","4,603.00","4,495.00",0.81K,1.94%
15-May-19,"4,490.00","4,480.00","4,500.00","4,480.00",1.22K,0.22%
14-May-19,"4,480.00","4,485.00","4,487.00","4,464.00",0.39K,-0.18%
13-May-19,"4,488.00","4,461.00","4,525.00","4,456.00",10.43K,0.16%
10-May-19,"4,481.00","4,451.00","4,495.00","4,438.00",18.50K,0.79%
9-May-19,"4,446.00","4,336.00","4,460.00","4,336.00",30.10K,2.49%
8-May-19,"4,338.00","4,319.00","4,348.00","4,301.00",22.41K,0.44%
7-May-19,"4,319.00","4,327.00","4,341.00","4,305.00",18.98K,0.14%
6-May-19,"4,313.00","4,300.00","4,334.00","4,282.00",26.63K,0.63%
3-May-19,"4,286.00","4,329.00","4,336.00","4,276.00",32.29K,-0.88%
2-May-19,"4,324.00","4,320.00","4,355.00","4,312.00",30.01K,-0.07%
30-Apr-19,"4,327.00","4,368.00","4,379.00","4,303.00",40.64K,-0.37%
26-Apr-19,"4,343.00","4,369.00","4,398.00","4,335.00",30.84K,-0.82%
25-Apr-19,"4,379.00","4,430.00","4,434.00","4,334.00",38.37K,-0.99%
24-Apr-19,"4,423.00","4,415.00","4,444.00","4,407.00",35.42K,0.09%
23-Apr-19,"4,419.00","4,411.00","4,442.00","4,393.00",35.42K,0.48%
22-Apr-19,"4,398.00","4,465.00","4,476.00","4,390.00",52.57K,-1.76%
18-Apr-19,"4,477.00","4,526.00","4,538.00","4,461.00",35.47K,0.25%
16-Apr-19,"4,466.00","4,500.00","4,500.00","4,445.00",2.21K,-1.09%
15-Apr-19,"4,515.00","4,537.00","4,555.00","4,510.00",1.95K,0.29%
12-Apr-19,"4,502.00","4,475.00","4,526.00","4,464.00",1.16K,1.58%
11-Apr-19,"4,432.00","4,411.00","4,445.00","4,402.00",7.65K,0.36%
10-Apr-19,"4,416.00","4,411.00","4,444.00","4,408.00",13.41K,0.30%
9-Apr-19,"4,403.00","4,404.00","4,429.00","4,386.00",11.49K,-0.45%
8-Apr-19,"4,423.00","4,499.00","4,509.00","4,409.00",16.48K,-1.49%
5-Apr-19,"4,490.00","4,446.00","4,502.00","4,446.00",20.33K,1.10%
4-Apr-19,"4,441.00","4,472.00","4,480.00","4,422.00",18.12K,-0.58%
3-Apr-19,"4,467.00","4,506.00","4,544.00","4,457.00",23.12K,-1.02%
2-Apr-19,"4,513.00","4,500.00","4,529.00","4,464.00",30.39K,0.51%
